Speaker,Speaker ID,Speaker Type,Class ID,Term,Year,Cohort
,TPLRHO,Instructor,PHY,AUG,2021,1
,KXQQYH,Instructor,PHY,AUG,2021,2
,OJKJUV,Instructor,PHY,AUG,2021,3
,JXPVLX,Instructor,PHY,AUG,2021,4
,EZUTAT,Instructor,PHY,AUG,2021,5
,YHGRFR,Instructor,PHY,SEPT,2021,1
,DSQHBK,Instructor,PHY,SEPT,2021,2
,FJYMZ,Instructor,PHY,SEPT,2021,3
,DWCHJ,Instructor,PHY,SEPT,2021,4
,JGHUR,Instructor,MATH,AUG,2021,1
,69SPQ,Instructor,MATH,AUG,2021,2
,ZI6CH,Instructor,MATH,AUG,2021,3
,L0643,Instructor,MATH,AUG,2021,4
,RAHPO,Instructor,MATH,AUG,2021,5
,HC5MB,Instructor,MATH,AUG,2021,6
,WGB1D,Instructor,MATH,AUG,2021,7
,XLPPXQ,Student,PHY,AUG,2021,1
,FRGTQB,Student,PHY,AUG,2021,1
,SUGYCB,Student,PHY,AUG,2021,1
,OFWFEH,Student,PHY,AUG,2021,1
,VOYIWL,Student,PHY,AUG,2021,1
,SDPLPD,Student,PHY,AUG,2021,1
,GMHKXL,Student,PHY,AUG,2021,1
,DSMFTI,Student,PHY,AUG,2021,1
,ZFCQHU,Student,PHY,AUG,2021,1
,FOLCLX,Student,PHY,AUG,2021,1
,SRRUGD,Student,PHY,AUG,2021,1
,OGDEPD,Student,PHY,AUG,2021,1
,NDOBQE,Student,PHY,AUG,2021,1
,QDAYRQ,Student,PHY,AUG,2021,1
,MCSQQV,Student,PHY,AUG,2021,1
,XMDPMM,Student,PHY,AUG,2021,1
,LLRIEN,Student,PHY,AUG,2021,1
,OVNRBX,Student,PHY,AUG,2021,1
,PWWLZE,Student,PHY,AUG,2021,1
,BHOBMJ,Student,PHY,AUG,2021,1
,GKJQRS,Student,PHY,AUG,2021,1
,WMOUHB,Student,PHY,AUG,2021,1
,YQTNDE,Student,PHY,AUG,2021,1
,VTKYQO,Student,PHY,AUG,2021,1
,BXWGFL,Student,PHY,AUG,2021,1
,RTSNIQ,Student,PHY,AUG,2021,1
,ZNIJSI,Student,PHY,AUG,2021,1
,OZNNGM,Student,PHY,AUG,2021,1
,YIXEGA,Student,PHY,AUG,2021,1
,HSEEBQ,Student,PHY,AUG,2021,1
,DBTEIL,Student,PHY,AUG,2021,1
,MDWMNK,Student,PHY,AUG,2021,1
,FEWDSF,Student,PHY,AUG,2021,1
,JODWNE,Student,PHY,AUG,2021,2
,GWPHDV,Student,PHY,AUG,2021,2
,ABKILE,Student,PHY,AUG,2021,2
,UEWNLI,Student,PHY,AUG,2021,2
,SDKAOU,Student,PHY,AUG,2021,2
,PONRAB,Student,PHY,AUG,2021,2
,YPZAUK,Student,PHY,AUG,2021,2
,TMHYEP,Student,PHY,AUG,2021,2
,BLPWSV,Student,PHY,AUG,2021,2
,NVFIZF,Student,PHY,AUG,2021,2
,DMRUNK,Student,PHY,AUG,2021,2
,BOZDLD,Student,PHY,AUG,2021,2
,QVXCAP,Student,PHY,AUG,2021,2
,BQAKUJ,Student,PHY,AUG,2021,2
,LDIGIL,Student,PHY,AUG,2021,2
,CRJLSY,Student,PHY,AUG,2021,2
,IAMZON,Student,PHY,AUG,2021,2
,YVMBVO,Student,PHY,AUG,2021,2
,MHSYVB,Student,PHY,AUG,2021,2
,EDDXNT,Student,PHY,AUG,2021,2
,AODWAS,Student,PHY,AUG,2021,2
,YFSBPZ,Student,PHY,AUG,2021,2
,HGJDGU,Student,PHY,AUG,2021,2
,SWBBFP,Student,PHY,AUG,2021,2
,OCKXGV,Student,PHY,AUG,2021,2
,CCGLHJ,Student,PHY,AUG,2021,2
,XVAHMR,Student,PHY,AUG,2021,2
,YDSDPJ,Student,PHY,AUG,2021,2
,ZNZXDV,Student,PHY,AUG,2021,2
,MKSSHP,Student,PHY,AUG,2021,2
,KPEMQC,Student,PHY,AUG,2021,3
,YUDMTL,Student,PHY,AUG,2021,3
,KUOLEV,Student,PHY,AUG,2021,3
,NUBCTU,Student,PHY,AUG,2021,3
,FRMCDB,Student,PHY,AUG,2021,3
,HLYOAK,Student,PHY,AUG,2021,3
,MXOBYS,Student,PHY,AUG,2021,3
,NJBVPM,Student,PHY,AUG,2021,3
,MENEKU,Student,PHY,AUG,2021,3
